poam_id,finding_id,title,system,control_refs,source,severity,risk_score,status,owner,discovered_date,due_date,days_open,days_overdue,milestones,evidence_paths,notes
POAM-001,VULN-001,Missing security update on CI server,KIT-CI-01,"SI-2,RA-5",scan,High,85,In Progress,Engineering Tools,2026-01-04,2026-02-03,40,10,Patch staged; maintenance window scheduled,evidence/patching/patch-compliance-summary_2026-02-01.md,Requires offline patch import; coordinate downtime
POAM-002,VULN-002,Git server audit policy drift,KIT-GIT-01,"AU-2,AU-6,CM-2",scan,High,80,Open,Engineering Tools,2026-01-19,2026-02-08,25,5,Change ticket drafted,evidence/logging/log-forwarding-config_2026-01-28.md,Validate logging baseline; rescan after change
POAM-003,AUD-003,Access reviews not documented for one quarter,KIT-IDP-01,AC-2,audit,Medium,55,Mitigated,ISSO Team,2025-12-05,2026-01-14,70,30,Completed review; updated checklist,evidence/access/access-review_2026-01-15.md,Evidence created; ensure cadence going forward
POAM-004,MAN-004,Admin workstation local admin group not monitored,KIT-WS-ADM-*,"AC-2,AU-6",manual,Medium,60,In Progress,LAN Admins,2026-01-26,2026-02-10,18,3,Enable auditing; add weekly review,evidence/logging/log-review-checklist.md,Add to AU-6 weekly review scope
POAM-005,VULN-005,Outdated scanner signatures in air-gapped environment,KIT-SCAN-01,"RA-5,MP-5",scan,Medium,50,Closed,SecOps,2026-01-09,2026-01-24,,0,Imported updates; verified content date,evidence/media-transfer/media-transfer-log_2026-01-20.md,Closed after update verification
POAM-006,AUD-006,POA&M entries missing scheduled completion date,POAM Process,PM-4,audit,Low,20,Closed,ISSM,2025-11-15,2025-12-15,,0,Updated process and templates,docs/exports/export-schema.md,Training delivered; new QC check added
POAM-007,VULN-007,Test harness service account password age exceeds policy,KIT-TEST-01,"IA-2,AC-2",scan,High,78,Open,Integration Team,2026-02-01,2026-02-11,12,2,Rotate password; document service account,evidence/auth/service-account-rotation_2026-02-10.md,Service account management needs formalization
POAM-008,MAN-008,Controlled media transfer log not reviewed monthly,Media Transfer Point,MP-5,manual,Low,25,Open,Media Custodian,2025-12-30,2026-01-29,45,15,Add monthly review to runbook,evidence/media-transfer/procedure.md,Inspection readiness gap; add to checklist
POAM-009,VULN-009,Artifact repository TLS config not aligned to baseline,KIT-ART-01,"CM-2,SC-13",scan,Medium,58,In Progress,Engineering Tools,2026-01-22,2026-02-06,22,7,Change ticket approved; apply during window,evidence/change-control/change-ticket-example_2026-02-03.md,Verify with rescan and log evidence
POAM-010,AUD-010,Logging source list missing new CI agent host,KIT-CI-AGENT-02,"AU-2,AU-6",audit,Low,15,Mitigated,SecOps,2026-01-16,2026-01-30,28,14,Updated source list and forwarding validation,evidence/logging/log-forwarding-config_2026-01-28.md,Ensure new hosts added during CM process
POAM-011,VULN-011,Developer workstation patching not tracked consistently,KIT-WS-DEV-*,"SI-2,CM-2",scan,Medium,52,Open,LAN Admins,2026-01-28,2026-02-07,16,6,Define sampling; produce monthly patch rollup,evidence/patching/patch-compliance-summary_2026-02-01.md,Need a policy for dev WS cadence in offline LAN
POAM-012,MAN-012,No documented out-of-cycle scan after major change,KIT-CI-01,"RA-5,CM-2",manual,Low,18,Closed,ISSO Team,2025-12-15,2025-12-30,,0,Updated CM checklist; added trigger,docs/workflow.md,Closed after process update
